		India	Iran	Nigeria	Kenya	Congo	Zimbabwe	Sri Lanka	Uganda	Afghanistan	Guinea
enact	5270	2464	43	242	57	53	18	93	49	0	0
enactment	5271	790	10	65	13	19	24	29	10	0	0
encapsulate	5272	1197	4	30	2	11	2	7	1	0	0
enclose	5273	27296	12	15	2	1	1	5	3	0	0
enclosure	5274	2405	2	27	2	2	2	7	2	0	0
encode	5275	3550	10	6	0	0	0	1	1	0	0
encoder	5276	960	0	0	0	0	0	1	0	0	0
encoding	5277	1330	0	0	0	0	0	0	0	0	0
encounter	5278	7443	109	510	92	113	89	179	65	5	0
encourage	5279	19324	342	2214	245	501	271	563	206	55	0
encouragement	5280	807	13	121	9	26	12	40	11	3	0
encouraging	5281	1732	26	121	28	21	25	38	10	6	0
encroach	5282	1091	10	44	15	7	6	6	27	1	0
encroachment	5283	2599	5	61	19	11	5	9	15	0	0
encrypt	5284	1974	13	8	0	2	0	14	3	0	0
encryption	5285	2120	8	7	2	4	2	8	0	0	0
endanger	5286	1235	83	158	24	27	4	27	17	6	0
endless	5287	1026	37	128	31	27	11	41	19	1	0
endorsement	5288	1366	47	245	42	52	17	31	8	4	1
endowment	5289	571	6	70	4	10	6	10	2	2	0
endpoint	5290	2675	1	2	0	0	1	0	0	0	0
endurance	5291	1364	12	36	8	10	7	27	3	1	0
endure	5292	1489	50	287	52	54	47	44	24	14	0
enemy	5293	2597	1037	583	90	72	59	79	65	110	0
enforce	5294	4533	125	513	84	95	74	131	77	8	0
engaging	5295	1027	1	30	3	2	1	17	2	0	0
engineering	5296	45110	540	410	93	59	51	873	79	2	0
engulf	5297	1101	33	94	21	16	14	8	12	1	0
enhance	5298	28567	350	1433	235	365	157	648	126	32	0
enhancement	5299	3889	40	91	4	18	7	40	31	1	0
enjoin	5300	206	4	499	24	43	1	9	1	1	0
enjoyable	5301	618	3	9	8	5	5	18	4	0	0
enlarge	5302	1092	10	42	8	4	1	22	9	0	0
enlighten	5303	464	6	161	13	29	4	29	8	1	0
enlist	5304	698	25	71	16	22	8	12	8	3	0
enmity	5305	680	39	23	2	3	1	4	0	7	0
enquire	5306	1178	3	25	9	6	6	4	2	0	0
enquiry	5307	3933	1	146	15	23	10	8	3	0	0
enrichment	5308	615	259	36	3	15	6	8	7	2	0
enrollment	5309	1626	3	60	4	12	2	29	5	2	0
enrolment	5310	1305	2	102	36	37	11	18	7	0	0
ensemble	5311	1182	12	8	3	0	9	15	1	0	0
enshrine	5312	477	36	131	24	26	25	24	13	3	0
ensue	5313	3403	33	137	30	37	29	31	31	4	0
entail	5314	1588	44	128	21	29	38	38	13	0	0
entertain	5315	2349	10	217	49	31	33	50	17	0	0
entertaining	5316	1066	7	42	9	8	11	25	5	0	0
entertainment	5317	11133	31	464	75	52	71	278	36	2	0
enthusiasm	5318	1822	25	104	27	19	12	54	14	2	0
enthusiast	5319	2075	19	54	15	7	20	50	15	1	0
entire	5320	48145	1669	2480	338	251	110	1763	176	36	0
entirety	5321	836	17	76	11	15	6	17	1	3	0
entitle	5322	6398	114	486	88	88	41	100	56	2	0
entitlement	5323	2064	1	197	18	23	6	12	22	0	0
entity	5324	21402	280	508	115	129	176	443	66	16	0
entrance	5325	4925	139	269	53	46	15	95	38	16	0
entrant	5326	1752	6	57	15	17	5	21	13	0	0
entrepreneur	5327	9700	80	822	93	110	49	508	73	10	0
entrepreneurial	5328	1460	6	171	19	38	14	59	16	1	0
entrepreneurship	5329	2791	18	390	39	55	15	111	38	2	0
entrust	5330	1515	15	81	20	21	14	66	16	3	0
envelope	5331	2343	12	38	12	11	1	34	30	0	0
enviornmental	5332	1196	0	0	0	0	0	0	0	0	0
environmentalist	5333	769	12	20	4	5	7	21	12	0	0
envision	5334	1207	37	55	24	16	9	28	11	0	0
envoy	5335	1328	738	194	61	58	17	83	31	103	0
enzyme	5336	2902	26	22	5	3	7	13	3	0	0
ep	5337	40580	1	843	41	0	1	1618	0	0	0
epic	5338	1595	44	50	15	6	8	34	1	0	0
episode	5339	7921	65	122	34	24	27	47	23	118	0
epitaxial	5340	749	0	0	0	0	0	0	0	0	0
epoxy	5341	1554	38	1	0	0	0	2	0	0	0
equal	5342	156492	10742	3115	1178	118	62	7073	86	18	0
equate	5343	754	15	43	7	12	12	9	5	0	0
equation	5344	1711	69	38	11	6	8	23	5	1	0
equip	5345	8459	227	527	60	94	66	259	62	38	1
eradicate	5346	1266	57	205	29	77	23	85	17	21	0
eradication	5347	476	28	135	7	39	3	30	8	4	0
erase	5348	1062	24	56	14	5	3	24	9	1	0
erect	5349	1648	27	112	29	27	18	47	29	3	0
erection	5350	1674	12	281	3	4	8	2	3	1	0
erode	5351	1693	30	131	29	33	32	31	13	1	0
err	5352	1681	2	170	14	22	20	8	10	0	0
erstwhile	5353	1991	1	128	9	26	14	5	1	0	0
erupt	5354	1539	171	112	54	36	11	49	43	20	0
escalate	5355	2098	224	212	55	43	34	52	38	10	0
escalation	5356	1651	241	76	22	10	6	24	7	5	0
escape	5357	6865	206	791	145	134	50	121	109	27	0
escort	5358	3019	60	125	46	26	10	28	35	1	0
essay	5359	1837	9	94	7	10	3	54	4	1	0
essence	5360	1903	29	402	36	34	27	42	17	0	0
establishment	5361	10351	544	997	123	244	110	330	91	54	2
esteem	5362	533	5	72	25	15	17	25	25	0	0
ester	5363	1865	4	1	0	2	0	0	0	0	0
estimation	5364	2614	23	44	8	14	3	5	2	1	0
etch	5365	2332	5	17	5	5	4	11	2	0	0
eternal	5366	591	13	131	17	14	14	23	11	1	0
etf	5367	10283	3	3	0	3	0	9	0	0	0
ethanol	5368	1936	5	18	10	8	13	11	3	0	0
ether	5369	881	5	1	1	0	4	1	0	0	0
ethernet	5370	835	2	1	0	1	0	0	0	0	0
ethiopian	5371	277	16	59	118	161	11	8	31	0	0
ethnic	5372	2113	220	913	192	168	21	220	50	28	0
ethos	5373	845	6	57	10	11	9	21	7	0	0
ethylene	5374	1295	53	4	0	0	0	1	0	0	0
euro	5375	5871	719	172	106	60	13	48	31	23	0
evacuate	5376	1820	151	291	47	28	9	34	44	25	0
evacuation	5377	1692	97	179	37	16	3	13	22	3	0
evade	5378	1174	73	54	32	25	23	40	14	1	0
evaluate	5379	13816	161	190	61	60	25	119	38	16	0
evaporation	5380	791	4	14	0	4	1	2	2	0	0
evaporator	5381	797	0	1	1	0	0	0	0	0	0
evasion	5382	968	26	53	32	26	9	8	9	1	0
eve	5383	2430	95	124	36	25	20	42	31	3	0
evening	5384	16820	296	527	259	145	69	419	208	75	0
evenly	5385	992	12	24	5	5	1	13	6	0	0
eventual	5386	648	22	135	25	19	12	20	21	2	0
everyday	5387	3726	39	222	20	22	25	60	21	4	0
evict	5388	916	16	68	45	29	23	4	49	1	0
eviction	5389	1190	30	75	41	41	23	7	58	0	0
evident	5390	3069	43	222	50	39	29	134	33	1	0
evms	5391	1283	0	0	0	0	0	0	0	0	0
evoke	5392	1022	3	27	13	10	1	18	10	3	0
evolution	5393	3171	41	104	17	23	10	58	11	0	1
evolve	5394	7938	76	352	40	37	37	196	32	4	0
exacerbate	5395	10892	1442	339	80	31	34	540	13	1	0
exactly	5396	5255	128	410	97	80	80	85	83	6	0
exam	5397	16571	29	243	207	72	22	179	135	10	0
examination	5398	15573	34	928	278	130	89	292	167	5	0
examine	5399	9449	210	375	70	74	21	126	60	6	0
excavation	5400	1351	66	12	5	1	2	43	8	4	0
excavator	5401	690	3	10	8	1	4	2	2	0	0
exceed	5402	38178	2769	1221	192	73	41	2088	46	3	0
excel	5403	11786	11	457	46	24	27	771	19	0	0
excellence	5404	3048	10	237	18	31	21	171	8	2	0
excellency	5405	798	50	381	31	81	38	72	17	0	0
except	5406	23479	636	1141	142	90	77	1316	58	16	0
exception	5407	4550	105	212	46	46	34	71	26	4	0
excerpt	5408	2845	15	220	14	34	16	52	3	1	0
excess	5409	5694	110	377	57	79	36	119	43	2	0
exchange	5410	95793	5409	2918	292	432	336	1344	145	72	0
exchanger	5411	2697	1	2	0	1	0	0	0	15	0
exchequer	5412	797	8	3	9	0	0	0	0	1	0
excise	5413	4995	4	64	41	34	6	30	14	0	0
excitation	5414	903	4	0	0	0	0	0	0	0	0
excitement	5415	2091	15	168	32	32	26	40	26	1	0
excl	5416	1988	3	0	0	0	0	1	0	0	0
exclude	5417	15930	143	263	47	62	33	95	28	8	0
exclusion	5418	2229	23	131	30	23	22	25	10	2	0
exclusively	5419	3531	50	165	39	47	14	59	12	1	0
executable	5420	733	1	2	0	0	2	0	1	0	0
exemplary	5421	3917	29	226	8	36	4	142	13	3	0
exempt	5422	4901	110	146	30	18	20	68	31	2	0
exert	5423	1181	78	61	15	27	13	40	7	2	0
exhaust	5424	6347	28	84	38	15	6	16	17	1	0
exhaustive	5425	692	2	28	6	7	3	8	3	0	0
exhibit	5426	5528	181	493	53	89	53	61	47	5	0
exhibition	5427	6658	632	249	65	129	59	346	29	13	0
exhibitor	5428	1000	9	54	23	19	12	47	10	0	0
exhort	5429	758	3	5	2	4	8	1	0	0	0
exigency	5430	633	1	36	1	2	3	4	1	0	0
exile	5431	535	60	61	25	36	28	12	47	2	0
exim	5432	1636	8	6	1	1	0	5	6	0	0
exist	5433	48829	581	1735	283	379	179	581	167	50	0
existence	5434	3661	118	690	79	97	45	129	55	16	0
exit	5435	9555	251	508	155	73	54	100	91	6	0
exodus	5436	531	31	50	9	9	12	10	14	0	0
exotic	5437	927	4	66	9	8	3	28	8	0	0
expand	5438	36523	1707	991	247	251	106	749	112	64	0
expandable	5439	1261	3	4	0	0	0	25	0	0	0
expected	5440	1070	12	55	8	9	5	19	5	1	0
expedite	5441	2755	30	102	16	21	22	97	23	3	0
expedition	5442	973	10	35	10	9	2	16	1	2	0
expeditiously	5443	769	1	43	17	8	12	15	4	0	0
expel	5444	1443	125	149	23	29	54	23	27	5	0
expend	5445	588	4	165	7	10	6	9	2	1	0
expenditure	5446	10765	62	773	93	182	72	398	102	13	0
expensive	5447	5413	94	290	180	92	67	76	129	5	0
experienced	5448	3251	62	222	41	39	29	151	22	3	0
experiential	5449	796	2	12	0	1	1	11	4	0	0
experimental	5450	2383	68	32	10	5	1	3	5	0	0
expertise	5451	12123	58	306	52	70	27	364	30	5	0
expiration	5452	1414	11	167	3	13	0	14	1	1	0
expire	5453	3758	108	229	65	49	23	45	47	2	0
expiry	5454	1725	11	22	25	17	11	16	19	2	0
explanatory	5455	787	4	8	1	1	4	4	1	0	0
explicit	5456	841	31	29	4	9	8	17	2	1	0
explicitly	5457	860	53	39	4	12	8	16	3	1	0
exploit	5458	3356	114	333	109	76	66	89	35	10	0
exploitation	5459	2013	51	163	44	59	26	30	31	8	1
exploration	5460	5828	362	309	32	45	57	65	26	4	1
explosion	5461	2735	373	391	70	43	7	87	26	185	0
exponential	5462	35168	2244	762	200	6	3	963	2	0	0
exponentially	5463	700	15	25	7	2	3	14	5	1	0
export	5464	46338	8321	1605	348	374	496	2878	346	112	2
exporter	5465	4735	516	192	32	32	74	194	36	10	0
expression	5466	27664	110	340	50	81	45	109	47	15	0
expressway	5467	1943	2	301	13	13	0	128	36	2	0
ext	5468	861	0	0	0	0	0	2	0	0	0
extend	5469	52725	1507	1244	288	297	191	1083	165	77	0
extensively	5470	1730	17	61	9	26	15	56	10	1	0
extent	5471	8996	200	625	108	110	105	272	72	10	0
exterior	5472	3143	20	14	5	3	1	16	11	1	0
externally	5473	754	4	11	2	6	2	9	4	2	0
extinction	5474	539	21	78	17	12	7	25	3	0	0
extinguish	5475	754	30	27	3	4	4	7	7	4	0
extort	5476	643	11	112	5	21	2	12	8	1	0
extortion	5477	1467	6	157	15	12	3	8	18	2	0
extract	5478	10165	232	155	21	19	31	90	27	10	1
extraction	5479	4579	150	155	9	16	16	13	19	31	0
extradition	5480	1048	59	40	20	19	1	36	2	0	0
extremism	5481	989	238	91	20	38	1	112	3	37	0
extremist	5482	1172	320	101	28	37	3	118	6	21	0
extrude	5483	958	0	1	0	0	0	0	0	0	0
extrusion	5484	2152	0	11	0	0	0	33	0	0	0
eyewitness	5485	867	19	172	13	16	4	4	20	36	0
fabric	5486	12063	54	140	34	24	9	515	34	1	0
fabricate	5487	2941	48	79	11	15	5	19	7	0	0
fabrication	5488	2732	56	79	1	13	3	70	5	1	0
fabulous	5489	674	1	14	3	2	1	24	4	0	0
facade	5490	845	8	7	3	0	0	7	2	0	0
facet	5491	998	3	56	3	17	7	34	9	1	0
facial	5492	2369	18	28	7	5	6	12	5	0	0
facilitation	5493	1060	30	78	9	25	12	52	41	4	0
fact	5494	42160	891	4129	580	728	480	945	393	55	2
faction	5495	1702	139	451	60	118	87	81	24	19	0
facto	5496	573	65	26	12	4	8	9	7	2	0
factory	5497	11703	604	482	186	94	39	566	163	73	0
factual	5498	1620	13	41	8	7	6	9	2	1	0
faculty	5499	5478	37	177	19	33	12	157	15	14	0
fade	5500	1103	18	58	21	5	11	24	8	2	0
fairness	5501	1070	8	323	29	27	14	12	13	5	0
faithful	5502	379	16	311	34	36	14	11	33	2	0
faithfully	5503	1213	5	41	4	0	5	7	3	0	0
fallout	5504	1145	27	101	30	14	14	27	11	0	0
falsely	5505	978	32	59	16	8	3	9	3	0	0
fame	5506	2392	12	141	25	13	45	53	20	6	0
familiar	5507	3672	101	196	59	45	30	59	48	7	0
fancy	5508	1560	4	37	21	10	13	28	13	2	0
fantasy	5509	1257	26	44	8	3	3	17	5	0	0
farewell	5510	691	13	58	17	21	15	27	10	2	0
farmland	5511	537	29	179	17	35	3	7	11	3	0
fashion	5512	13906	35	530	61	65	85	264	72	5	0
fasten	5513	998	0	11	2	2	1	3	4	1	0
fastener	5514	3056	0	0	0	0	0	2	0	0	0
fastening	5515	1260	0	0	0	0	0	1	0	0	0
fatal	5516	1970	76	112	34	26	18	33	13	9	0
fatality	5517	3112	119	105	35	16	8	74	14	10	0
fatigue	5518	2126	30	64	19	13	14	18	23	1	0
fatty	5519	1584	12	30	9	2	0	3	11	0	0
fault	5520	5007	54	530	111	62	40	84	68	4	0
faulty	5521	949	4	108	23	17	9	17	13	0	0
fax	5522	35587	541	110	30	3	0	316	0	0	0
feasibility	5523	2823	45	49	16	21	25	44	40	4	2
feasible	5524	1601	32	88	14	17	11	28	10	0	0
feat	5525	1533	12	368	34	44	18	45	25	0	0
feather	5526	761	23	45	14	5	4	12	8	0	0
feature	5527	52238	508	1193	239	226	243	768	145	10	0
feb	5528	9565	737	151	70	1	1	466	2	0	2
federalism	5529	707	2	300	5	41	0	15	12	0	0
feed	5530	15244	345	853	197	165	177	231	160	9	0
feeder	5531	1878	0	43	7	12	4	10	11	0	0
feeding	5532	3985	15	239	26	49	32	14	37	1	0
feedstock	5533	810	38	23	0	0	2	0	0	0	0
feeling	5534	5346	72	385	131	65	52	110	82	5	0
felicitate	5535	1772	45	110	3	7	0	44	0	2	0
fellowship	5536	1186	2	160	8	15	6	41	14	0	0
fence	5537	2463	99	191	63	48	41	32	44	8	0
fencing	5538	1155	13	28	8	9	7	1	7	9	0
ferment	5539	1057	1	13	2	2	1	0	0	0	0
fermentation	5540	1701	0	7	0	2	3	2	1	0	0
ferro	5541	2192	0	0	0	0	2	0	0	0	0
ferrous	5542	1599	28	0	0	0	2	0	0	0	0
ferry	5543	2264	34	112	144	24	33	31	72	1	0
fertility	5544	1093	32	74	33	22	1	18	16	0	0
fervent	5545	716	12	38	6	7	8	9	3	0	0
fest	5546	1006	12	7	2	0	0	1	0	0	0
festive	5547	3790	11	108	30	36	54	89	32	1	0
festivity	5548	1194	11	53	11	2	10	34	11	3	0
fetch	5549	2131	12	95	43	28	14	13	24	2	1
feud	5550	686	10	71	14	7	3	0	21	2	0
fever	5551	3350	41	468	73	52	9	54	44	4	0
fibrosis	5552	696	22	5	1	1	1	0	0	0	0
fiction	5553	1627	52	40	11	14	7	38	6	0	0
fiduciary	5554	665	5	8	4	3	1	1	0	0	0
fielder	5555	637	0	1	6	0	1	19	2	0	0
fierce	5556	931	177	103	26	31	21	16	18	17	0
fight	5557	29845	1882	4156	901	901	637	470	629	252	0
fighter	5558	4675	1024	332	108	149	65	50	69	188	0
fighting	5559	1785	274	204	93	80	17	34	70	62	0
fiis	5560	967	0	0	0	0	0	0	0	0	0
filament	5561	1711	14	0	0	0	0	2	2	0	0
filatex	5562	788	0	0	0	0	0	0	0	0	0
filing	5563	18034	32	98	25	13	6	25	4	0	0
filler	5564	1605	49	2	1	0	1	14	2	0	0
filling	5565	1665	7	167	6	19	5	15	5	0	0
filmmaker	5566	4830	156	96	17	22	21	20	4	6	0
filtering	5567	1344	0	2	0	1	0	2	0	0	0
finale	5568	1180	3	94	19	8	11	28	4	0	0
finalist	5569	1318	20	79	42	21	19	58	19	1	0
financially	5570	2048	35	216	41	39	31	62	45	8	0
financier	5571	5413	17	60	36	20	10	14	7	3	0
finding	5572	10774	300	538	133	141	54	153	85	34	0
fingerprint	5573	4316	10	61	21	6	1	9	5	0	0
finish	5574	15969	303	808	511	258	152	358	200	11	0
fintech	5575	15995	9	39	3	24	2	31	2	0	0
fir	5576	725	1	4	0	0	0	0	0	1	0
firecracker	5577	1070	3	1	0	0	0	11	2	0	0
firefighter	5578	880	90	14	11	6	4	4	3	2	0
firefighting	5579	1036	15	18	5	10	1	5	5	0	0
firewall	5580	728	4	2	1	2	1	2	1	0	0
firework	5581	1062	39	30	14	22	7	12	9	2	0
firmly	5582	2023	92	122	43	43	12	69	16	4	0
firmware	5583	963	7	0	0	0	0	0	0	0	0
firs	5584	1015	0	80	2	4	0	1	0	0	0
fishery	5585	2860	89	71	12	70	7	152	22	0	0
fitch	5586	4965	5	220	31	8	0	310	0	0	0
fitness	5587	12019	19	114	37	27	59	129	17	0	0
fitting	5588	5051	21	55	11	11	9	49	9	0	0
fix	5589	76407	155	1943	161	179	113	2435	106	13	0
fixation	5590	1238	4	11	0	1	2	2	1	0	0
fixedly	5591	4261	0	1	0	0	0	0	0	0	0
fixing	5592	1985	1	14	5	2	9	24	1	0	0
fixture	5593	2822	29	130	73	64	86	25	47	1	0
flagship	5594	5314	30	117	22	19	21	78	8	1	0
flak	5595	706	0	6	2	0	0	5	1	0	0
flange	5596	3083	1	2	0	0	0	0	1	0	0
flank	5597	887	46	52	30	13	3	15	7	2	0
flap	5598	1028	0	2	3	0	1	33	0	0	0
flare	5599	933	71	155	19	22	12	7	4	3	0
flash	5600	5740	44	88	38	16	15	26	23	6	0
flatten	5601	778	26	50	11	1	2	5	7	0	0
flaunt	5602	1095	6	59	3	4	8	4	1	0	0
flaw	5603	1189	50	42	14	10	11	24	3	1	0
fledged	5604	978	24	26	8	1	3	17	3	0	0
flee	5605	5575	414	522	209	210	60	126	142	58	0
fleet	5606	6981	255	203	22	40	23	73	9	4	0
flesh	5607	619	9	105	22	7	10	18	17	0	0
flex	5608	1231	5	21	8	3	7	8	2	0	0
flexible	5609	11173	31	117	16	21	25	104	34	1	0
flick	5610	1283	11	15	9	1	4	2	4	0	0
flight	5611	23368	811	1241	368	148	132	490	115	56	0
flip	5612	2412	15	50	8	8	9	19	15	1	0
flipkart	5613	1710	1	6	0	0	0	0	0	0	0
float	5614	7314	66	168	38	27	19	121	23	0	0
flock	5615	937	23	44	13	16	12	27	25	1	0
flooring	5616	1330	4	1	1	1	1	91	3	1	0
flop	5617	726	6	17	18	6	6	12	7	0	0
floral	5618	1115	6	4	3	1	0	17	3	1	0
flour	5619	1983	87	886	55	18	41	56	57	29	0
flourish	5620	1391	35	76	29	24	15	46	14	0	0
flout	5621	996	19	133	27	8	12	7	19	0	0
flower	5622	5072	78	72	89	39	12	136	56	7	0
flu	5623	2624	81	63	17	2	7	47	14	0	0
fluctuation	5624	1742	124	57	8	7	3	27	7	0	0
flue	5625	796	3	0	0	0	6	0	0	0	0
fluid	5626	14365	39	78	18	15	9	10	45	3	0
fluorescent	5627	1224	24	0	0	0	2	7	0	0	0
fluoride	5628	676	1	0	0	0	0	1	0	0	0
flux	5629	1355	24	4	1	1	0	5	0	0	0
fly	5630	12498	441	655	243	128	93	211	153	24	0
flyer	5631	877	2	18	1	3	2	14	1	0	0
flying	5632	727	8	10	4	0	0	10	3	0	0
flyover	5633	2996	5	66	11	2	0	46	17	0	0
fmcg	5634	1358	0	6	3	0	0	93	0	0	0
fmp	5635	749	0	1	0	0	1	0	0	0	0
foam	5636	3370	14	71	1	2	0	56	4	0	0
focused	5637	2393	16	222	22	35	32	58	12	5	0
focusse	5638	2194	6	23	10	13	10	30	3	1	0
fodder	5639	1172	8	22	19	14	7	11	5	1	0
fog	5640	1279	9	8	3	0	0	4	3	1	0
foil	5641	3369	134	54	8	8	7	10	22	27	0
fold	5642	6293	146	264	45	41	31	46	22	4	0
foldable	5643	1310	0	2	0	0	0	2	0	0	0
folder	5644	704	3	6	1	2	0	32	2	0	0
folk	5645	2867	37	94	28	20	27	60	14	4	0
follower	5646	3822	73	335	56	44	45	62	34	8	0
following	5647	15182	94	216	43	49	47	208	29	5	0
font	5648	780	0	3	2	0	3	5	1	0	0
foodstuff	5649	463	67	133	14	11	20	3	13	35	0
foot	5650	18675	179	542	228	107	112	233	192	13	0
footage	5651	4041	163	68	35	20	12	61	27	10	0
footballer	5652	743	33	130	59	30	46	2	28	3	0
footfall	5653	1371	0	5	1	1	0	6	0	0	0
footing	5654	776	7	43	9	10	5	19	8	0	0
footnote	5655	1424	2	4	1	1	3	7	4	0	1
footpath	5656	1207	2	4	5	1	1	5	2	0	0
footprint	5657	4598	21	139	18	24	21	82	9	2	0
footstep	5658	600	11	60	19	12	15	17	7	3	0
footwear	5659	4144	32	22	8	7	2	100	7	10	0
foray	5660	1599	1	40	11	3	3	15	3	0	0
forbe	5661	769	0	41	0	2	0	2	1	0	0
forbid	5662	551	47	94	16	14	8	10	11	2	0
forcefully	5663	536	15	192	12	24	5	10	17	1	0
forcibly	5664	970	27	36	13	20	13	32	8	7	0
fore	5665	1505	7	119	16	21	12	23	14	2	0
forecasting	5666	1213	2	9	1	3	1	10	0	0	0
foregoing	5667	548	0	92	7	8	11	1	4	0	0
foreigner	5668	2234	153	264	68	64	40	128	34	24	0
foremost	5669	1155	17	326	17	24	20	55	4	1	0
forensic	5670	2444	25	256	37	37	29	57	22	1	0
foresee	5671	845	24	44	13	8	7	18	5	2	0
forest	5672	17004	150	517	161	156	30	176	162	2	0
forestry	5673	2420	13	12	23	27	2	58	9	0	0
forex	5674	1138	48	428	24	58	90	37	4	1	0
forge	5675	5252	267	263	59	55	22	86	50	4	1
forgery	5676	730	6	167	11	22	0	3	32	1	1
forget	5677	6256	133	804	157	113	83	216	100	13	0
forging	5678	1524	44	0	0	0	0	0	0	0	0
forgive	5679	767	9	203	48	23	56	29	37	3	0
forgiveness	5680	545	15	100	19	18	15	27	16	1	0
fork	5681	1341	4	12	12	3	9	6	10	0	0
forma	5682	723	2	3	1	1	2	1	0	0	0
formal	5683	5700	114	375	93	100	102	144	69	21	1
formality	5684	1297	10	21	9	4	9	18	3	1	0
format	5685	13412	80	104	27	17	21	122	12	4	0
formation	5686	8457	288	336	64	87	64	96	41	19	0
formerly	5687	5020	111	186	51	22	17	562	40	1	2
formula	5688	6524	28	165	83	40	10	62	13	7	0
formulate	5689	2884	35	93	22	27	20	164	15	1	0
formulation	5690	7492	83	71	8	19	14	48	7	0	0
fort	5691	8538	63	428	64	45	64	364	90	10	0
fortably	5692	14336	12	182	33	17	8	496	11	1	0
forth	5693	4584	38	139	28	22	22	52	35	2	0
fortis	5694	690	0	2	0	0	0	0	0	0	0
fortnight	5695	1895	3	49	16	11	37	9	21	0	0
fortunate	5696	1264	9	79	24	20	13	49	1	2	0
fortunately	5697	936	75	88	27	20	17	28	26	13	0
fortune	5698	2928	23	345	77	66	57	48	44	1	0
forward	5699	87445	493	2984	508	505	421	2772	262	77	0
forwarding	5700	859	21	12	12	1	3	81	2	0	0
fossil	5701	2341	91	119	10	40	4	67	3	0	0
foul	5702	1429	23	113	46	19	26	20	22	0	0
foundry	5703	1124	229	0	0	2	0	3	0	0	0
fountain	5704	640	9	19	3	2	2	5	6	0	0
fraction	5705	1894	24	55	19	6	10	20	7	1	0
fracture	5706	1996	13	50	18	9	5	13	5	0	0
fragile	5707	1067	50	117	16	43	17	28	10	4	0
fragment	5708	1596	27	18	7	9	3	24	3	0	0
fragrance	5709	1344	2	24	0	1	2	21	1	0	0
frame	5710	30370	238	189	42	67	25	111	57	2	0
franchisee	5711	1030	1	7	2	0	1	2	0	0	0
fraternity	5712	1826	8	25	11	14	25	45	22	3	0
fraudster	5713	768	7	190	21	11	11	9	18	0	0
fraudulent	5714	1559	19	272	36	43	13	41	19	4	0
fraudulently	5715	503	0	94	24	27	11	13	19	1	0
fray	5716	1612	8	63	14	8	2	25	8	1	0
freely	5717	1878	56	248	47	51	36	62	63	5	0
freezer	5718	743	10	12	2	3	0	18	0	0	0
freezing	5719	711	16	51	9	18	5	8	2	0	0
freight	5720	4669	144	138	37	19	8	219	8	3	0
french	5721	6085	986	385	256	150	46	150	90	15	4
frenzy	5722	579	8	55	9	5	6	8	4	0	0
frequency	5723	17356	102	110	45	27	11	64	13	0	0
frequently	5724	3687	87	127	37	39	20	69	39	19	0
fresh	5725	21937	350	931	279	124	98	334	205	45	0
friction	5726	2648	42	49	12	6	4	17	11	1	0
friendship	5727	2901	195	174	46	54	13	110	28	10	0
fringe	5728	1037	12	60	14	8	11	14	7	1	0
frontier	5729	1640	45	120	23	23	15	34	8	6	0
frontline	5730	3455	54	218	34	20	26	47	18	3	0
fruitful	5731	846	63	94	7	33	20	41	3	7	0
frustrate	5732	666	44	248	62	41	23	14	81	4	0
frustration	5733	1159	54	230	63	46	23	35	36	4	0
fry	5734	1328	5	55	15	6	1	16	33	0	0
fs	5735	2638	0	0	0	0	0	0	0	0	0
fugitive	5736	622	26	31	14	16	12	6	4	0	0
fume	5737	788	11	59	9	13	7	3	8	0	0
function	5738	35684	252	964	230	188	107	798	135	16	0
functionality	5739	3368	13	43	3	12	5	33	7	0	0
functionary	5740	2267	1	111	2	9	1	10	1	0	0
fundamental	5741	109257	2157	2552	344	143	84	5373	56	22	0
fundamentally	5742	959	31	79	13	12	13	16	7	6	0
fundraising	5743	921	13	20	17	17	10	4	29	0	0
funeral	5744	1665	196	148	69	49	88	80	36	14	0
fungal	5745	651	0	3	5	0	1	3	5	0	0
fungicide	5746	933	0	2	0	0	0	12	2	0	0
furious	5747	710	20	28	32	6	9	7	16	0	0
furnace	5748	3193	38	21	2	6	7	4	1	0	0
furnish	5749	4998	6	101	22	24	17	16	8	2	0
furnishing	5750	3218	2	22	4	1	1	11	2	0	0
furniture	5751	9980	46	153	29	26	23	185	59	2	0
furtherance	5752	787	0	124	6	8	4	1	1	0	0
fuse	5753	2365	14	33	8	2	12	15	7	3	0
fusion	5754	2517	9	35	2	9	16	27	5	0	0
futile	5755	489	43	72	19	21	9	24	39	0	0
futuristic	5756	937	4	18	5	1	1	22	3	3	0
fy	5757	15685	10	731	51	4	0	1436	8	0	0
gaap	5758	3156	0	1	1	0	0	32	0	0	0
gadget	5759	1513	5	62	55	9	24	1	18	0	0
gainer	5760	2015	1	71	0	5	1	22	0	0	0
galaxy	5761	5157	76	47	10	2	5	13	6	0	0
gallon	5762	790	10	29	1	1	0	3	3	0	0
gambling	5763	787	2	31	50	2	1	18	18	0	0
gamer	5764	1031	19	5	2	1	1	12	0	0	0
gaming	5765	5524	14	27	13	5	15	46	9	0	0
gamut	5766	702	1	17	1	1	0	19	0	0	0
ganesh	5767	933	0	2	0	0	0	2	0	0	0
gangster	5768	1740	1	21	21	7	19	10	3	0	0
garage	5769	1437	7	51	8	7	4	13	27	0	0
garbage	5770	5610	27	26	27	42	10	196	32	5	0
garden	5771	8648	114	86	81	43	32	450	118	21	0
