		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
blogger	3993	1267	178	0	0	48	4	0	0	52	4
blossom	3994	1351	247	1	0	17	0	0	1	4	0
blower	3995	747	53	189	0	130	1	7	0	6	3
blueberry	3996	1076	114	0	0	4	4	7	0	0	0
blueprint	3997	1918	207	9	2	91	1	0	2	5	1
bluetooth	3998	1218	128	29	0	3	4	66	9	82	0
blunt	3999	1175	295	1	0	27	1	0	0	5	1
blur	4000	975	197	2	1	39	4	0	0	10	1
bn	4001	726	14	46	2	103	145	27	11	2	27
bnb	4002	464	1	0	0	594	0	0	0	0	0
bnordik	4003	4	0	24	0	0	1080	2	2	2	0
boarding	4004	2624	448	6	1	48	19	1	5	13	6
boardroom	4005	1479	119	0	1	30	2	4	1	11	0
boast	4006	7771	875	31	3	123	18	3	6	50	13
boating	4007	1441	146	2	0	29	0	0	3	1	0
bodily	4008	1820	257	0	3	215	2	0	0	2	8
boiler	4009	1954	157	123	18	186	27	1	204	4	18
bois	4010	110	6	6	2	1291	1	6	0	12	0
bollinger	4011	1944	15	135	15	32	27	33	36	22	3
bolster	4012	5667	426	9	0	114	23	26	3	28	2
bolt	4013	2863	444	89	0	49	12	19	0	24	2
bomber	4014	2037	257	13	0	32	0	0	0	5	8
bombing	4015	1943	313	16	0	56	0	1	1	14	6
bondholder	4016	588	39	127	2	152	40	1150	16	34	1
bonding	4017	1039	64	7	0	17	4	1	0	126	1
bone	4018	8649	1348	661	13	1389	50	31	878	123	5
bono	4019	3222	36	1	0	28	0	0	5	1	0
bonus	4020	12369	1201	166	10	292	381	318	75	76	70
booking	4021	10305	1040	260	7	988	84	20	46	166	9
booklet	4022	1046	138	1	0	116	1	0	0	3	0
bookmaker	4023	802	98	124	0	33	0	0	0	0	1
bookturnover	4024	737	76	592	37	53	114	179	87	40	3
boomer	4025	1941	276	5	0	14	0	0	0	3	1
booming	4026	1053	108	3	3	18	1	0	0	4	3
boost	4027	34389	3021	181	62	1828	164	64	148	148	123
booster	4028	1260	88	1	2	27	4	6	3	6	1
boot	4029	8801	1345	52	3	153	3	11	0	78	4
bore	4030	2230	371	63	1	29	1	12	2	13	2
borough	4031	1365	61	1	2	1954	1	0	1	5	0
borrow	4032	4345	1036	261	18	190	11	136	31	70	28
borse	4033	23	0	0	1382	0	0	0	0	11	0
bot	4034	1295	104	0	0	60	0	0	0	96	0
bother	4035	1924	696	7	1	41	3	0	0	25	3
bottle	4036	11013	2048	25	1	595	11	29	18	174	18
bottled	4037	934	190	0	0	56	0	0	4	4	5
boulder	4038	1032	134	0	0	9	2	2	0	1	0
boulevard	4039	835	55	66	0	114	5	0	0	65	0
bounce	4040	16172	1552	3783	206	617	613	917	705	507	37
boundary	4041	7406	1293	52	9	581	18	5	24	149	0
bounty	4042	1097	109	0	0	10	0	3	0	18	0
bourbon	4043	1550	50	7	0	7	0	9	0	0	1
bourse	4044	418	12	7	68	0	10	2	217	1	359
bout	4045	1602	543	0	0	17	0	0	0	19	1
boutique	4046	5308	337	36	1	20	2	9	1	9	3
bouvet	4047	32	0	0	0	0	0	1531	0	0	0
bow	4048	2753	541	24	0	72	6	0	7	17	3
bowel	4049	1351	591	10	0	174	35	12	0	0	0
bowl	4050	17310	3405	2	0	116	0	0	3	15	1
bowling	4051	5558	1348	20	0	66	0	0	0	3	0
box	4052	24407	3007	1396	15	973	126	61	125	246	32
boxer	4053	1177	449	8	0	15	1	0	0	11	5
boyfriend	4054	1888	335	0	0	30	0	0	0	12	2
bpm	4055	2638	0	0	0	0	0	0	0	0	0
bpost	4056	62	0	5	0	1059	6	0	0	3	0
bracket	4057	59944	2436	10939	1696	2624	2770	4360	3621	1859	196
brake	4058	7084	669	176	2	125	404	7	78	135	29
braking	4059	2350	235	18	1	33	5	0	10	53	4
bramble	4060	1426	5	0	0	12	0	0	1	0	0
branding	4061	3988	162	51	0	82	41	23	11	27	0
brass	4062	1619	285	37	0	101	2	0	2	5	3
bravery	4063	1024	170	3	0	204	0	0	0	1	2
bravo	4064	1289	57	0	0	71	8	12	0	0	1
brawl	4065	1173	196	0	0	8	0	0	0	2	1
brazilian	4066	5122	340	69	6	157	30	58	15	99	8
breach	4067	33027	3180	3046	209	2133	607	948	697	566	113
breadth	4068	3296	136	27	0	193	15	9	4	11	1
breakdown	4069	6293	799	423	25	505	91	85	96	126	7
breaker	4070	2306	725	35	1	16	9	0	9	17	1
breakfast	4071	11379	1325	6	0	264	5	90	4	15	32
breakout	4072	3766	227	392	34	84	89	88	105	75	7
breakthrough	4073	5133	468	147	1	225	107	63	41	32	13
bream	4074	1322	20	0	0	13	1	0	0	0	0
breastfeed	4075	1005	240	0	0	136	0	0	0	19	1
breathing	4076	2567	382	5	0	252	4	5	13	37	6
breathtaking	4077	1147	120	7	0	17	2	1	0	4	0
breed	4078	10543	1565	43	0	143	17	7	8	38	18
breeder	4079	4442	301	0	0	60	1	1	45	9	8
breeding	4080	4049	804	3	0	119	12	1	2	33	12
breeze	4081	2212	399	0	0	22	2	0	8	12	3
brent	4082	1958	180	508	81	243	212	246	235	17	0
brew	4083	3483	362	16	4	31	15	0	2	85	1
brewer	4084	1340	250	0	8	24	14	0	0	74	18
brewery	4085	3718	483	38	14	127	82	13	113	75	106
brewing	4086	1698	166	4	0	25	11	0	2	10	2
brexit	4087	1008	78	0	2	372	10	0	0	2	8
bribery	4088	991	73	4	1	47	6	7	3	3	20
brick	4089	6424	635	4	31	166	17	3	26	22	16
bride	4090	1492	295	1	0	12	0	0	2	7	1
briefly	4091	2714	573	6	5	110	2	9	17	23	19
bright	4092	11914	1751	306	1	396	45	12	21	103	5
brilliantly	4093	951	252	0	0	19	0	0	0	5	1
brine	4094	1061	21	1	0	9	0	3	0	1	0
brink	4095	1180	260	2	0	41	3	0	1	14	5
brisk	4096	1003	114	50	0	23	17	18	29	5	3
brl	4097	1667	2	2	3	4	10	2	0	0	17
broadband	4098	7896	635	624	14	436	86	96	174	105	18
broadcaster	4099	3932	634	118	3	188	12	15	0	14	35
broadcasting	4100	5033	255	197	0	494	31	4	8	6	18
broaden	4101	3601	188	267	1	220	103	85	56	27	5
broadly	4102	3706	295	18	2	300	53	14	19	37	2
broadway	4103	1650	170	1	0	89	0	0	0	0	0
broccoli	4104	762	325	4	0	5	0	0	0	1	0
brochure	4105	1193	92	43	0	50	19	2	4	9	1
broker	4106	13790	512	233	26	192	71	176	101	203	26
brokerage	4107	12617	66	599	2	106	191	82	0	16	4
broking	4108	2337	77	3	0	22	56	100	0	4	0
bronco	4109	2849	363	0	0	1	0	0	0	8	0
bronze	4110	4018	1155	1	0	262	5	0	9	4	7
brother	4111	20898	4040	33	5	319	12	3	4	88	36
browse	4112	2027	171	5	0	62	2	4	4	44	4
browser	4113	2643	85	28	0	40	11	156	1	125	0
brumbie	4114	1421	223	0	0	0	0	0	0	0	0
brunch	4115	3534	141	0	0	9	0	0	0	0	3
brush	4116	4098	670	4	0	85	37	0	2	44	1
bst	4117	1256	0	7	1	7	6	3	1	5	15
bt	4118	2467	291	406	54	2518	0	7	5	1	0
btc	4119	11544	0	1	0	2	1	0	0	28	0
buck	4120	2837	437	1	0	56	1	0	0	21	2
bucket	4121	2972	701	9	1	46	58	0	0	35	5
buckle	4122	1209	128	7	0	8	0	0	0	5	1
buddy	4123	1537	240	3	0	40	1	0	1	5	0
budget	4124	42789	3909	2572	189	6075	922	738	983	422	762
budgetary	4125	603	27	2	1	964	0	0	1	1	15
budgeting	4126	1458	169	1	0	115	2	0	0	2	1
buffet	4127	2449	160	3	0	34	5	10	0	1	0
bug	4128	3694	613	4	0	109	1	33	0	68	3
bulb	4129	1560	486	0	0	47	2	0	0	36	2
bulk	4130	9993	960	27	30	197	104	515	28	45	10
bulldog	4131	5063	220	0	0	11	0	0	0	0	0
bulletin	4132	2534	95	333	0	117	57	2	652	8	2
bullish	4133	510276	17632	158010	10696	26914	30818	43554	36517	20695	1625
bully	4134	3653	995	2	0	207	0	0	6	14	22
bullying	4135	2225	601	2	0	200	0	0	10	5	18
bulten	4136	78	18	1496	9	0	19	5	6	8	0
bump	4137	3217	608	5	2	48	0	0	2	47	2
bumper	4138	2067	338	1	0	31	0	0	0	104	1
bunch	4139	6370	1046	1	0	31	1	0	0	68	1
bundle	4140	3236	264	39	11	250	9	5	11	84	8
bunker	4141	1917	244	0	7	13	7	83	26	1	0
buoy	4142	1526	217	0	2	51	16	6	0	3	4
bure	4143	210	7	3269	0	3	15	0	1	0	1
bureau	4144	1961	90	3	0	48	0	1	4	0	2
bureaucrat	4145	1076	139	2	0	15	0	0	0	2	5
burgeon	4146	1172	123	1	0	36	1	0	0	7	0
burglary	4147	2273	728	7	0	1815	0	0	0	1	6
burial	4148	976	205	2	0	86	0	0	1	3	10
burn	4149	39277	2951	1241	41	455	76	564	178	66	45
burner	4150	1069	230	15	1	23	2	0	10	9	0
burst	4151	4315	990	30	3	119	0	3	19	36	8
bury	4152	3654	976	9	0	207	4	55	4	21	35
buser	4153	0	0	1347	0	0	0	0	0	6	0
bushel	4154	7530	315	1614	201	407	534	774	636	0	0
businessman	4155	3487	671	15	1	83	9	7	0	19	126
bust	4156	2961	546	2	3	81	5	2	1	14	26
bustion	4157	2534	126	48	5	154	14	4	22	33	6
bustle	4158	998	172	1	0	20	0	0	6	1	1
busy	4159	15462	3607	44	6	830	49	43	26	73	18
butcher	4160	1550	529	1	0	25	1	0	0	4	1
butt	4161	996	242	1	0	17	0	0	1	3	0
butter	4162	4059	1359	6	4	46	2	0	8	8	5
butterfly	4163	1556	329	3	0	111	0	0	0	8	28
buy	4164	334098	12273	5761	205	2670	9722	6814	1344	2162	804
buyback	4165	52766	932	1302	22	1527	7369	4121	1134	4648	7
buying	4166	45215	539	1288	31	1451	125	607	178	172	18
buyout	4167	2545	59	693	3	17	25	8	2	26	13
buysellsignal	4168	58348	1853	16173	820	2305	3095	3909	4386	1854	135
buzz	4169	91841	2023	12924	960	2271	2628	4193	3139	1829	117
bwlpg	4170	33	0	0	0	0	0	1293	0	0	0
cabbage	4171	817	260	3	0	56	0	0	0	0	13
cable	4172	21230	713	881	77	759	632	509	170	666	19
cabot	4173	1144	6	0	0	5	1	0	0	0	0
cad	4174	16253	366	1131	119	525	332	453	800	30	144
cadence	4175	1366	21	4	5	4	1	8	1	17	0
cadet	4176	1230	220	2	0	323	5	6	0	0	0
cage	4177	1870	482	76	3	99	4	89	4	11	21
cagr	4178	239038	3206	19026	2369	5359	5584	6226	5592	4323	473
calculate	4179	8796	983	286	48	792	326	91	369	291	40
calculation	4180	4781	366	86	44	551	163	77	123	51	32
calculator	4181	1243	138	1	0	41	1	0	0	10	2
calibrate	4182	1019	56	28	4	52	3	0	3	47	0
calibration	4183	1774	52	58	8	84	31	11	5	108	1
calorie	4184	1436	290	0	0	83	4	0	2	76	3
camera	4185	23631	2790	465	10	776	119	72	89	446	43
campaigner	4186	1686	351	1	0	185	0	0	0	4	3
campaigning	4187	849	157	0	0	92	0	1	1	7	5
camper	4188	1177	626	19	0	13	0	0	1	3	1
camping	4189	2740	841	98	0	85	0	0	11	3	0
canadian	4190	15740	762	351	25	153	105	54	16	96	18
canal	4191	1512	142	16	1	123	2	8	1	11	2
candidate	4192	31960	3466	1073	25	2144	771	338	122	381	477
candle	4193	2179	286	68	0	101	0	0	0	19	13
candlestick	4194	577	156	1173	62	114	188	370	202	0	0
candy	4195	2544	141	31	0	9	8	8	5	6	1
canola	4196	1334	45	0	0	1	1	0	0	4	0
canon	4197	1102	65	16	0	51	13	0	0	7	2
canopy	4198	1118	228	11	1	37	14	0	0	4	41
canteen	4199	1097	30	6	2	55	1	6	2	4	1
canyon	4200	1394	158	0	0	5	0	4	1	1	1
capability	4201	39945	1105	695	22	1216	398	409	413	336	29
capable	4202	10761	1391	146	3	511	72	38	87	166	41
capacitor	4203	2189	14	24	0	14	0	10	1	15	0
cape	4204	4383	522	39	1	59	5	23	0	9	1
capex	4205	1265	15	59	7	26	57	131	7	27	0
capita	4206	1294	217	44	5	588	13	14	39	10	78
capitalisation	4207	110598	3275	32336	2476	5428	6629	8820	7247	4556	405
capitalist	4208	1002	82	2	1	22	1	3	0	10	0
capitalization	4209	39002	1347	7621	548	1538	1910	2254	2222	842	33
capman	4210	62	0	12	7	0	26	6	1258	5	0
capsule	4211	2306	173	23	0	102	4	5	18	5	3
caption	4212	1930	28242	8	53	34	20	0	0	18	2
captive	4213	1978	140	1	0	43	0	0	0	11	1
capture	4214	21551	2077	184	14	995	123	171	199	355	12
carbonate	4215	987	14	4	1	209	13	5	0	5	1
cardboard	4216	2106	243	9	9	71	4	5	3	3	1
cardiac	4217	3354	189	246	0	235	38	84	0	28	6
cardiff	4218	935	176	0	0	1354	0	1	0	1	0
cardinal	4219	2223	112	5	0	15	1	5	0	3	28
cardiology	4220	1258	12	48	0	10	29	0	51	0	2
cardiovascular	4221	3757	93	202	0	211	160	11	120	13	10
caregiver	4222	3020	415	14	0	27	71	0	4	22	0
careless	4223	725	313	0	1	62	0	0	0	3	2
cargo	4224	11153	873	365	112	201	216	400	469	55	38
caribbean	4225	1514	73	0	0	117	4	6	0	13	0
caring	4226	1000	146	0	0	125	0	0	0	2	1
carnival	4227	5849	311	8	0	82	0	2	0	37	1
carol	4228	1351	168	0	0	90	1	0	0	0	1
carpet	4229	4354	987	5	0	423	48	0	0	9	6
carriage	4230	2138	218	2	22	167	5	0	5	8	9
carrier	4231	21621	565	445	102	528	79	1009	207	162	71
carrot	4232	1604	672	4	0	21	1	0	2	1	2
carry	4233	42793	7739	2251	91	7750	1684	1171	767	686	202
cartel	4234	1001	104	23	14	78	0	0	14	1	8
carton	4235	5686	123	62	50	21	14	13	114	3	0
cartoon	4236	1435	229	3	0	26	0	3	4	6	6
cartridge	4237	2256	48	20	2	62	14	0	7	28	3
cascade	4238	1224	103	22	3	44	3	4	10	14	9
cashflow	4239	25384	1627	6593	796	1027	1578	2950	2726	1543	56
casing	4240	1058	26	42	4	7	5	0	0	4	2
cast	4241	13291	2365	1612	140	452	218	227	63	101	50
castellum	4242	67	0	1035	0	8	38	15	0	0	0
casting	4243	1628	112	42	66	22	11	7	8	7	7
castle	4244	2764	413	0	5	231	2	0	0	2	34
casualty	4245	5851	400	11	118	236	8	0	57	77	4
catalytic	4246	1068	7	4	0	35	24	3	15	8	1
catastrophe	4247	2161	157	7	2	71	1	7	1	4	4
catch	4248	32750	7098	48	11	1527	13	56	11	158	121
catchment	4249	1497	483	1	2	150	2	6	1	15	2
catering	4250	3524	155	3	112	351	92	8	154	2	14
cathedral	4251	1051	463	3	0	128	1	0	0	2	5
catheter	4252	2036	25	107	0	37	14	0	0	28	0
cathode	4253	1162	3	7	0	99	10	21	0	28	0
catholic	4254	3971	441	13	1	85	0	0	0	4	30
cattle	4255	24399	1152	10	4	150	2	5	18	12	12
caucus	4256	856	622	0	2	2	0	1	0	5	0
cautious	4257	6959	586	751	36	227	106	145	163	110	26
cav	4258	231	885	10	0	3	0	0	0	2	2
cavalier	4259	499	687	8	0	4	0	0	0	1	0
cave	4260	2631	567	2	13	53	0	0	0	7	13
caverion	4261	112	0	18	1	0	72	2	1472	0	0
cavotec	4262	159	0	1158	0	0	8	4	3	2	0
cb	4263	2843	6	0	0	22	99	0	0	4	0
cbd	4264	7919	1705	28	34	45	1	2	1	4	2
cbr	4265	4317	2	1	0	2	0	0	0	0	0
cbrain	4266	90	0	14	0	0	1977	0	68	0	0
cd	4267	1312	95	34	0	71	22	5	0	6	7
cease	4268	10810	619	57	9	409	37	34	9	33	34
cedar	4269	3210	99	29	0	24	7	0	0	10	0
ceiling	4270	6809	772	418	3	316	189	8	8	88	8
celebrated	4271	1460	118	2	0	44	0	0	0	4	0
celebratory	4272	960	85	4	3	44	2	0	0	0	2
cellar	4273	1726	187	1	0	25	3	0	0	0	10
cellphone	4274	550	643	0	0	1	3	0	0	2	0
cellular	4275	5045	90	672	7	56	24	95	80	117	2
celsius	4276	1562	438	5	0	27	1	1	4	18	5
cemat	4277	39	0	17	0	0	1237	0	17	0	0
cement	4278	12605	416	141	30	178	187	18	35	25	11
cemetery	4279	2199	480	4	0	135	0	0	6	4	38
centavo	4280	7431	0	74	1	5	0	0	1	1	0
centavos	4281	2108	0	5	0	1	0	0	0	1	0
centenary	4282	1138	99	2	0	219	7	0	5	1	28
centrally	4283	942	76	164	41	126	15	187	48	18	0
centrelink	4284	1360	8	0	0	0	0	0	0	0	0
ceramic	4285	5074	198	91	29	125	16	4	1	17	12
cereal	4286	2602	104	19	8	168	2	0	6	11	14
certain	4287	32518	3122	627	71	3825	900	907	343	489	146
certainty	4288	4004	693	8	1	504	29	11	15	24	15
certification	4289	11971	211	146	76	606	95	106	92	47	41
certified	4290	725	14	182	1	16	75	66	26	5	0
certify	4291	15942	341	610	23	364	485	168	429	64	12
cervical	4292	834	109	35	0	61	14	3	0	5	0
cessation	4293	923	56	10	0	113	4	5	5	2	1
cessnock	4294	1068	1	0	0	0	0	0	0	0	0
cet	4295	10779	5	14050	903	2610	3408	5808	2813	870	189
cf	4296	485	10	32	1	109	368	86	0	9	0
cfo	4297	7507	48	391	16	68	214	536	176	47	5
chairman	4298	322807	7000	18127	884	3425	8571	5234	7698	3250	1391
chairperson	4299	1431	175	24	1	53	14	56	36	12	68
chairwoman	4300	1030	545	15	0	28	15	0	2	9	103
chalk	4301	999	215	0	0	31	0	0	0	6	1
challenger	4302	4161	652	188	0	31	16	19	4	16	6
chamber	4303	8424	566	76	13	391	19	23	10	128	400
champ	4304	1327	610	1	1	8	0	0	0	1	5
champagne	4305	2489	217	0	0	22	1	0	4	0	1
championship	4306	26020	5774	54	6	255	10	0	7	52	71
channel	4307	36818	1530	1480	92	1280	379	299	440	710	67
chant	4308	1360	266	7	0	17	0	0	0	13	5
chaos	4309	2915	541	10	2	79	0	4	0	17	16
chaotic	4310	983	235	1	0	34	1	0	0	9	12
chapel	4311	1083	141	0	0	139	0	0	1	1	6
characteristic	4312	7107	323	128	17	671	49	22	52	250	12
charger	4313	2304	198	99	5	64	3	10	7	73	4
charging	4314	1483	152	16	5	82	14	14	21	59	4
charitable	4315	4851	453	12	1	360	11	0	24	31	2
charm	4316	2539	421	7	0	32	3	0	0	9	2
chart	4317	17179	933	2880	198	661	547	1034	600	313	46
chassis	4318	2439	444	23	0	18	5	5	8	36	7
chat	4319	8241	1332	42	10	483	76	1	20	124	4
cheap	4320	11708	2594	24	13	447	70	30	49	198	125
cheat	4321	1796	433	2	4	55	0	0	0	12	4
checking	4322	1661	52	1	0	121	36	0	2	2	3
checklist	4323	1400	133	0	0	56	3	0	0	3	0
checkout	4324	1154	181	27	0	13	11	23	40	12	0
checkpoint	4325	1146	313	44	0	47	27	39	4	5	1
cheek	4326	1134	247	0	0	20	1	0	0	2	1
cheer	4327	4658	772	2	1	94	1	2	0	15	12
cheese	4328	8617	1504	11	0	138	2	21	23	14	19
chemical	4329	35842	1136	1971	52	2692	190	875	671	877	126
chemist	4330	1065	107	8	6	33	1	0	0	1	17
chemistry	4331	5016	219	181	0	155	33	14	5	15	11
chemotherapy	4332	2597	257	165	0	223	85	56	0	19	0
cheque	4333	1880	433	0	0	147	0	0	10	12	133
cherish	4334	1020	175	1	0	59	2	0	0	8	1
chest	4335	3742	725	105	0	216	1	0	1	22	6
chew	4336	1430	265	140	0	40	8	0	1	6	0
chf	4337	7398	118	470	86	204	127	238	261	8	162
chic	4338	1874	120	3	0	1	1	0	0	1	0
chick	4339	844	339	0	0	33	0	0	0	47	1
chicken	4340	8519	2021	15	0	146	10	6	118	53	15
chief	4341	527260	18179	19929	1368	7932	6028	8003	6750	4285	605
childcare	4342	5176	398	0	0	448	2	0	1	1	4
childhood	4343	5818	1270	15	3	300	7	0	45	25	13
chilled	4344	1011	119	0	0	21	9	44	0	1	2
chip	4345	15476	1469	181	79	268	64	46	78	617	30
chloride	4346	1140	9	0	0	156	1	7	4	12	2
chocolate	4347	9225	1265	83	15	116	3	2	9	9	7
choir	4348	2107	297	1	0	194	14	0	4	1	10
choke	4349	1386	278	4	1	25	0	0	0	3	0
cholesterol	4350	1372	77	0	0	59	10	62	1	1	2
chop	4351	3849	1423	0	0	29	1	0	1	25	0
chorus	4352	1123	1000	5	1	22	8	0	1	4	0
christian	4353	3521	620	296	5	185	124	42	11	7	63
chrome	4354	1080	99	0	0	18	0	0	20	116	0
chronic	4355	7127	521	282	0	386	169	39	32	67	10
churn	4356	985	196	15	0	12	51	5	4	51	0
cider	4357	1260	227	29	0	48	0	0	118	43	4
cigarette	4358	4349	906	25	0	437	12	0	18	24	138
cik	4359	3205	0	0	0	0	0	0	0	0	0
circa	4360	1006	75	15	0	67	3	7	84	31	0
circle	4361	7320	1177	19	12	172	19	4	7	43	24
circuit	4362	21032	701	381	217	466	28	127	191	531	6
circuitry	4363	1108	3	55	0	2	2	3	55	50	0
circular	4364	4636	152	55	29	425	55	75	194	97	3
circulate	4365	3133	338	10	2	211	24	2	24	44	1
circumstance	4366	12606	2003	179	18	1991	381	181	211	183	51
circus	4367	1631	247	2	0	49	2	0	0	4	5
citation	4368	1342	49	3	0	151	1	0	0	34	1
cite	4369	10949	1232	25	25	504	45	6	22	99	121
citizenship	4370	5427	510	47	0	380	13	0	80	19	36
citrix	4371	1502	0	2	0	17	0	4	0	0	0
citrus	4372	1877	211	6	0	43	4	3	0	30	0
civic	4373	4666	464	6	0	439	2	0	3	35	166
civilian	4374	3907	797	56	10	507	2	7	16	36	56
cladding	4375	1777	175	1	0	144	0	0	11	16	1
claim	4376	125665	12756	993	86	4554	663	712	426	1045	403
claimant	4377	1256	204	4	0	3552	0	0	0	1	0
clamp	4378	2061	166	25	0	90	9	0	17	24	1
clarence	4379	1433	83	0	0	30	0	0	0	0	0
clarify	4380	3639	422	49	7	604	59	21	40	50	16
clash	4381	13886	2259	5	0	122	0	0	1	17	27
classical	4382	2106	310	21	2	145	8	6	2	20	18
classification	4383	19886	653	9327	564	1255	1458	1808	1638	826	83
classified	4384	3090	293	132	0	101	123	170	137	17	13
classify	4385	6439	460	2270	12	507	1312	235	1467	118	10
classroom	4386	7523	908	6	0	345	7	3	18	15	6
classy	4387	1275	242	1	0	3	0	0	0	4	0
claw	4388	1415	296	21	0	26	18	0	0	2	0
cleaner	4389	2208	283	144	0	45	110	2	0	25	1
cleaning	4390	7975	533	410	8	507	488	53	134	181	12
clearing	4391	2824	190	23	0	342	27	24	2	68	6
cleary	4392	1072	111	0	0	0	0	0	0	0	0
clever	4393	2289	718	4	0	31	7	0	0	24	3
clientele	4394	1130	61	4	1	8	2	0	8	4	5
cliff	4395	2013	556	2	0	80	0	1	0	5	1
climbing	4396	1094	271	0	1	45	1	1	0	5	1
clime	4397	643	30	388	0	5	0	46	0	0	0
clinch	4398	1609	363	2	0	33	0	0	0	2	1
cling	4399	844	273	0	2	20	1	0	0	3	2
clinician	4400	3528	215	18	9	244	59	31	3	28	0
clipper	4401	1451	46	5	0	7	0	9	40	12	0
clive	4402	942	142	3	0	16	0	0	0	1	0
clock	4403	8731	1249	98	17	299	55	11	12	63	9
closing	4404	12641	1297	1217	128	2109	446	790	284	210	29
cloth	4405	1825	274	33	0	92	2	0	6	15	2
clothing	4406	16249	1212	419	8	858	89	15	143	18	44
cloudy	4407	1618	292	0	1	4	1	0	3	1	0
clove	4408	741	400	0	0	2	0	0	0	1	0
clover	4409	1422	114	19	0	10	0	8	0	7	0
clown	4410	1160	218	11	0	15	0	0	0	1	2
clubhouse	4411	1545	77	0	0	23	0	0	0	0	0
clue	4412	1857	379	1	4	174	2	0	1	18	0
clutch	4413	2404	451	18	0	18	9	0	2	100	1
cm	4414	6891	1476	6	2	364	6	1	3	29	20
cma	4415	2097	3	0	2	24	0	0	0	1	0
cmv	4416	3651	58	380	9	46	146	61	132	32	0
cny	4417	30424	127	509	124	211	240	282	357	1	94
coaching	4418	6740	1462	0	0	269	3	2	1	12	0
coal	4419	30167	757	60	25	642	141	78	38	54	260
coalition	4420	15454	1404	42	10	543	7	8	36	37	445
coastal	4421	5801	1226	69	4	389	12	16	8	123	0
coastline	4422	1767	444	9	1	87	2	0	1	6	2
coated	4423	1229	15	70	10	122	5	2	112	40	1
coating	4424	8915	87	1031	9	421	146	25	280	686	6
cobalt	4425	5050	74	15	0	111	37	6	8	10	3
cocaine	4426	2016	319	5	0	319	0	0	0	1	17
cochlear	4427	2752	32	6	0	5	13	0	0	0	0
cockpit	4428	1034	159	0	2	15	5	0	12	15	0
cocktail	4429	9251	412	0	0	31	1	0	3	2	13
cocoa	4430	1906	161	8	17	50	108	11	6	0	4
coconut	4431	2614	562	0	0	16	52	0	1	9	1
cod	4432	917	72	1	0	351	4	29	4	0	0
code	4433	71265	3955	27462	1851	5613	5738	6465	6814	2631	371
codecountrylast	4434	1267	133	2228	91	190	350	574	226	142	17
codeshare	4435	10077	6	1	0	0	6	0	4	0	0
coding	4436	937	23	17	0	17	0	0	74	26	0
coefficient	4437	1027	5	46	12	48	0	0	23	62	9
coff	4438	1266	11	0	0	0	0	0	0	0	0
coffin	4439	941	231	1	0	15	0	0	0	6	6
cognitive	4440	3171	198	67	4	322	66	0	21	47	0
cohort	4441	2563	171	44	0	365	33	71	48	16	0
coil	4442	3514	109	52	0	31	8	5	74	254	2
coin	4443	6468	652	60	2	721	5	3	1	158	37
coincide	4444	3711	472	12	1	241	12	26	10	19	4
coincidence	4445	900	210	13	0	26	2	0	0	12	8
coke	4446	1551	52	2	3	19	0	5	5	1	3
collaborate	4447	11952	299	265	13	543	125	133	73	107	20
collaboration	4448	33151	724	1516	15	1883	907	611	214	321	41
collaborative	4449	6778	259	116	11	761	90	128	15	83	2
collaboratively	4450	1201	82	15	0	125	2	6	11	7	0
collaborator	4451	1310	95	6	0	74	10	26	3	9	11
collar	4452	2613	327	28	0	67	21	11	20	21	8
collateral	4453	2188	99	58	13	214	17	73	40	10	3
collection	4454	27940	2378	395	74	2906	138	624	200	203	131
collector	4455	3558	323	1260	3	141	21	11	49	56	14
collide	4456	2087	493	6	0	253	1	0	6	12	3
collier	4457	851	115	24	5	15	9	1121	8	1	4
collin	4458	1019	35	1	0	1	0	2	0	0	0
colo	4459	389	4	9	0	0	1379	0	0	0	0
colocation	4460	1876	1	0	0	1	1	2	0	0	0
colonial	4461	1473	346	16	0	65	1	0	0	12	2
colony	4462	1857	489	15	4	91	6	2	1	4	1
coloplast	4463	130	0	0	0	0	1572	0	0	0	0
colorectal	4464	754	72	82	0	191	38	8	3	0	1
column	4465	8617	1383	560	127	666	305	241	283	96	17
columnist	4466	1464	236	3	0	15	0	0	5	1	0
combat	4467	958	17	2	0	123	11	1	3	0	1
combination	4468	703	15	36	0	40	23	257	43	3	0
combine	4469	5316	402	212	19	322	98	117	85	62	0
comedy	4470	1082	100	0	0	34	0	0	0	0	0
comet	4471	1115	49	13	0	1	1	2	2	0	0
comfort	4472	780	57	318	0	8	9	0	8	6	0
commander	4473	2273	219	35	3	326	2	28	0	2	3
commence	4474	1242	27	13	0	24	4	32	32	20	0
commerce	4475	2935	84	49	7	31	18	28	3	2	0
commercial	4476	24690	331	517	46	760	141	276	54	79	10
commissioner	4477	11602	1095	64	2	2161	6	8	9	50	25
commitment	4478	1075	34	18	1	1036	22	18	17	8	1
commodore	4479	902	235	2	0	14	1	0	0	0	0
common	4480	30028	1920	9423	874	3127	2037	3490	2899	2049	70
communication	4481	15084	184	4749	183	1193	561	361	869	109	4
companycodeclose	4482	3687	81	236	25	91	103	88	113	42	0
comparative	4483	2710	226	1081	313	519	667	613	656	191	25
comparison	4484	17454	1236	15652	1064	1969	3063	4163	2638	1299	198
compensation	4485	12321	244	28	1	59	17	30	36	16	2
